formulation,nfe,nfe_semantics,block_size,total_model_forwards_per_sequence,nfe_per_token,checkpoint_step,n_samples,length,seed,sampling_seconds,sampling_tokens_per_second,pooled_entropy_nats,mean_per_sample_block_entropy_nats,mean_nll,gen_ppl,effective_judge_tokens
full_cfm,1,full_sequence_steps,256,1,0.00390625,30000,8,256,0,0.012358027044683695,165722.24616396433,2.778010845184326,2.740889310836792,,,
blockwise_cfm,1,steps_per_block,16,16,0.0625,30000,8,256,0,0.36176013201475143,5661.20978725342,2.760162591934204,2.171242579817772,,,
