formulation,nfe,nfe_semantics,block_size,total_model_forwards_per_sequence,nfe_per_token,checkpoint_step,n_samples,length,seed,sampling_seconds,sampling_tokens_per_second,pooled_entropy_nats,mean_per_sample_generation_block_entropy_nats,report_block_size,pooled_report_block_entropy_mean_nats,mean_per_sample_report_block_entropy_nats,mean_nll,gen_ppl,effective_judge_tokens
blockwise_cfm,8,steps_per_block,16,128,0.5,390000,2048,256,0,289.8937776382081,1808.552098880575,2.646123170852661,2.1021458357572556,16,2.639427274465561,2.1021458357572556,6.746889591217041,851.4064177266807,193857
blockwise_cfm,16,steps_per_block,16,256,1.0,390000,2048,256,0,577.9818402118981,907.1011639531564,2.6500611305236816,2.1044063568115234,16,2.643605127930641,2.1044063568115234,6.759532451629639,862.2389631091279,188698
blockwise_cfm,32,steps_per_block,16,512,2.0,390000,2048,256,0,1155.6730147888884,453.6646553919699,2.6680262088775635,2.112536445260048,16,2.661694720387459,2.112536445260048,6.77027702331543,871.5533011365794,185356
