nfe_steps_per_block,stratum_defined_by_90k_longest_seen_match,n_sequences,sequence_fraction,source_nll_same_prior_indices,step90k_nll,delta_nll_90k_minus_source,step90k_effective_judge_tokens,step90k_fraction_of_judge_tokens
8,all,2048,1.0,6.746892473779904,6.593111200264588,-0.15378127351531568,183018,1.0
8,match_lt_32,1758,0.8583984375,6.750958393775879,6.759997411004129,0.009039017228249513,167569,0.9155875378378083
8,match_lt_64,1763,0.86083984375,6.750821057779855,6.759900467966499,0.009079410186644488,167991,0.917893321968331
8,match_32_63,5,0.00244140625,6.702217264378325,6.721406041728377,0.019188777350052533,422,0.0023057841305226807
8,match_64_127,10,0.0048828125,6.797877170728601,6.494004777723097,-0.30387239300550384,762,0.004163524899190244
8,match_128_255,247,0.12060546875,6.722836416835322,4.679807731518019,-2.043028685317303,12854,0.07023352894250838
8,exact_seen_256,28,0.013671875,6.6951953592737485,4.218926941393792,-2.4762684178799566,1411,0.007709624189970386
16,all,2048,1.0,6.759533970029678,6.58214545308667,-0.17738851694300806,179033,1.0
16,match_lt_32,1704,0.83203125,6.7633665328182575,6.791552902333779,0.028186369515521115,160620,0.8971530388252446
16,match_lt_64,1707,0.83349609375,6.763379939518052,6.791304432574204,0.027924493056151967,160879,0.8985996994967408
16,match_32_63,3,0.00146484375,6.770923682865703,6.63721480793014,-0.1337088749355635,259,0.0014466606714963162
16,match_64_127,11,0.00537109375,6.646534739264379,6.497075898141572,-0.14945884112280705,825,0.004608089011523015
16,match_128_255,293,0.14306640625,6.74718590344845,4.695232481242831,-2.051953422205619,15448,0.08628576854546369
16,exact_seen_256,37,0.01806640625,6.714711908397985,4.226976134053321,-2.4877357743446638,1881,0.010506442946272475
32,all,2048,1.0,6.7702745170776835,6.577958933240591,-0.19231558383709224,177790,1.0
32,match_lt_32,1686,0.8232421875,6.771456655411768,6.796225059044554,0.024768403632785763,158441,0.8911693571066989
32,match_lt_64,1691,0.82568359375,6.77159817421743,6.796339129953787,0.02474095573635715,158866,0.8935598177625288
32,match_32_63,5,0.00244140625,6.817621357151186,6.838865033318014,0.02124367616682843,425,0.0023904606558299117
32,match_64_127,15,0.00732421875,6.864257721061564,6.612526620630881,-0.2517311004306828,1076,0.0060520839192305526
32,match_128_255,303,0.14794921875,6.765546600819502,4.680604110938916,-2.0849424898805866,15870,0.08926261319534282
32,exact_seen_256,39,0.01904296875,6.714612625863787,4.2425887953523915,-2.4720238305113957,1978,0.0111254851228978
