checkpoint_label,nfe_steps_per_block,mean_nll,gen_ppl,effective_judge_tokens,expected_summary_nll,reduction_difference,mean_per_sequence_nll,std_per_sequence_nll
source,8,6.746892473779904,851.408871962739,193857,6.746889591217041,2.882562863071314e-06,6.753858395695416,0.27341803176027096
source,16,6.759533970029678,862.2402723337974,188698,6.759532451629639,1.5184000394796726e-06,6.766356953152131,0.28393297103439136
source,32,6.7702745170776835,871.5511168195354,185356,6.77027702331543,-2.5062377462248264e-06,6.776157355309392,0.29279019781791077
step90k,8,6.593111200264588,730.0486678914025,183018,6.593111515045166,-3.147805776038126e-07,6.480054531681466,0.8131719796056465
step90k,16,6.58214545308667,722.0868720738223,179033,6.582149028778076,-3.575691406076942e-06,6.4496899735064295,0.883754096506822
step90k,32,6.577958933240591,719.0701602214568,177790,6.5779619216918945,-2.9884513033096027e-06,6.439967507351429,0.8994229933389364
