nfe_steps_per_block,stratum,n_sequences,sequence_fraction,source_nll_same_prior_indices,step90k_nll,delta_nll_90k_minus_source,paired_bootstrap_95_low,paired_bootstrap_95_high,bootstrap_probability_delta_ge_zero,bootstrap_replicates
8,all,2048,1.0,6.746892473779904,6.593111200264588,-0.15378127351531568,-0.18010546695415053,-0.12849419891635458,0.0,20000
8,noncopy_match_lt_64,1763,0.86083984375,6.750821057779855,6.759900467966499,0.009079410186644488,-0.008714846315055412,0.026791187176584786,0.83415,20000
8,long_copy_match_ge_128,275,0.13427734375,6.720020693001367,4.634220434296478,-2.0858002587048894,-2.179254254767824,-1.99072624861863,0.0,20000
16,all,2048,1.0,6.759533970029678,6.58214545308667,-0.17738851694300806,-0.20624541338852936,-0.1489970899434373,0.0,20000
16,noncopy_match_lt_64,1707,0.83349609375,6.763379939518052,6.791304432574204,0.027924493056151967,0.009221371255165955,0.046558118397468276,0.99795,20000
16,long_copy_match_ge_128,330,0.1611328125,6.743501335514855,4.644404955761646,-2.0990963797532096,-2.1844672135327343,-2.012062284094401,0.0,20000
32,all,2048,1.0,6.7702745170776835,6.577958933240591,-0.19231558383709224,-0.2223650293296277,-0.162556944240269,0.0,20000
32,noncopy_match_lt_64,1691,0.82568359375,6.77159817421743,6.796339129953787,0.02474095573635715,0.0050538781714136284,0.0446891926130796,0.99295,20000
32,long_copy_match_ge_128,342,0.1669921875,6.7597045170634225,4.632061176479584,-2.1276433405838384,-2.210225755586976,-2.045427182650037,0.0,20000
