checkpoint_label,nfe_steps_per_block,n_samples,unique_sequences,unique_sequence_fraction,mean_longest_seen_train_substring,median_longest_seen_train_substring,p90_longest_seen_train_substring,p99_longest_seen_train_substring,max_longest_seen_train_substring,fraction_with_seen_match_ge_16,fraction_with_seen_match_ge_32,fraction_with_seen_match_ge_64,fraction_with_seen_match_ge_128,fraction_with_seen_match_ge_192,fraction_exact_seen_256_window,mean_fraction_aligned_blocks_seen,mean_longest_constant_character_run,max_longest_constant_character_run
source,8,2048,2048,1.0,12.62109375,12.0,16.0,24.0,44,0.12158203125,0.00146484375,0.0,0.0,0.0,0.0,0.00244140625,2.12841796875,4
source,16,2048,2048,1.0,13.32080078125,13.0,17.0,27.0,42,0.16943359375,0.0048828125,0.0,0.0,0.0,0.0,0.004364013671875,2.08984375,4
source,32,2048,2048,1.0,14.4365234375,13.0,19.0,32.0,52,0.26220703125,0.0107421875,0.0,0.0,0.0,0.0,0.00732421875,2.0888671875,5
step90k,8,2048,2048,1.0,41.6962890625,12.0,223.29999999999995,256.0,256,0.2119140625,0.1416015625,0.13916015625,0.13427734375,0.126953125,0.013671875,0.121856689453125,2.412109375,6
step90k,16,2048,2048,1.0,47.5234375,12.0,224.0,256.0,256,0.2412109375,0.16796875,0.16650390625,0.1611328125,0.14892578125,0.01806640625,0.14471435546875,2.33447265625,7
step90k,32,2048,2048,1.0,49.32470703125,12.0,227.29999999999995,256.0,256,0.2578125,0.1767578125,0.17431640625,0.1669921875,0.15576171875,0.01904296875,0.15142822265625,2.3212890625,5
