nfe_steps_per_block,total_forwards_per_sequence,source_mean_nll,step90k_mean_nll,delta_nll_90k_minus_source,source_gen_ppl,step90k_gen_ppl,delta_ppl_90k_minus_source,relative_ppl_change,source_effective_judge_tokens,step90k_effective_judge_tokens,source_pooled_char_entropy_nats,step90k_pooled_char_entropy_nats,delta_pooled_char_entropy_nats,source_mean_per_sample_block_entropy_nats,step90k_mean_per_sample_block_entropy_nats
8,128,6.746889591217041,6.593111515045166,-0.153778076171875,851.4064177266807,730.04889769658,-121.35752003010077,-0.1425377087879306,193857,183018,2.646123170852661,2.6760292053222656,0.029906034469604492,2.1021458357572556,2.1042762845754623
16,256,6.759532451629639,6.582149028778076,-0.1773834228515625,862.2389631091279,722.0894540382614,-140.14950907086654,-0.16254137781654476,188698,179033,2.6500611305236816,2.684551239013672,0.034490108489990234,2.1044063568115234,2.111158475279808
32,512,6.77027702331543,6.5779619216918945,-0.19231510162353516,871.5533011365794,719.0723091308254,-152.48099200575405,-0.17495314607483659,185356,177790,2.6680262088775635,2.687001943588257,0.01897573471069336,2.112536445260048,2.114068791270256
