nfe_steps_per_block,delta_nll_90k_minus_source,paired_bootstrap_mean,paired_bootstrap_std,paired_bootstrap_95_low,paired_bootstrap_95_high,bootstrap_probability_delta_ge_zero,bootstrap_replicates,bootstrap_seed
8,-0.15378127351531568,-0.1538748330178671,0.013322972876863069,-0.1797360097399962,-0.12796826391210725,0.0,20000,20260727
16,-0.17738851694300806,-0.17745898455030534,0.014612557309386738,-0.20633452149186365,-0.14897204279590906,0.0,20000,20260735
32,-0.19231558383709224,-0.1922947375693459,0.015167626506324465,-0.22227827047334925,-0.16268141646595186,0.0,20000,20260751
