formulation,nfe,nfe_semantics,block_size,total_model_forwards_per_sequence,nfe_per_token,checkpoint_step,n_samples,length,seed,sampling_seconds,sampling_tokens_per_second,pooled_entropy_nats,mean_per_sample_generation_block_entropy_nats,report_block_size,pooled_report_block_entropy_mean_nats,mean_per_sample_report_block_entropy_nats,mean_nll,gen_ppl,effective_judge_tokens
full_cfm,1,full_sequence_steps,256,1,0.00390625,30000,2048,256,0,1.912755988072604,274100.8279515574,2.8082897663116455,2.766113519668579,16,2.807767614722252,2.2028767317533493,7.195725917816162,1333.7181440287036,210300
full_cfm,2,full_sequence_steps,256,2,0.0078125,30000,2048,256,0,3.9845464122481644,131580.3471101208,2.8259036540985107,2.7812585830688477,16,2.82541324198246,2.2136375159025192,7.326822280883789,1520.5422305982138,194387
full_cfm,4,full_sequence_steps,256,4,0.015625,30000,2048,256,0,8.121159984730184,64558.26519681829,2.822173595428467,2.776832103729248,16,2.8217043578624725,2.21171972155571,7.3592376708984375,1570.6387628198363,193791
full_cfm,8,full_sequence_steps,256,8,0.03125,30000,2048,256,0,15.887950835749507,32999.09506393352,2.834057569503784,2.788084030151367,16,2.833584815263748,2.218323677778244,7.39056396484375,1620.6198278659278,193461
blockwise_cfm,1,steps_per_block,16,16,0.0625,30000,2048,256,0,69.01862645894289,7596.326193362936,2.7760493755340576,2.162399500608444,16,2.773050308227539,2.162399500608444,6.958360195159912,1051.9072196506816,198325
blockwise_cfm,2,steps_per_block,16,32,0.125,30000,2048,256,0,132.97926996974275,3942.6295551125613,2.784097194671631,2.1733166724443436,16,2.781787931919098,2.1733166724443436,6.975263595581055,1069.839156984079,186300
blockwise_cfm,4,steps_per_block,16,64,0.25,30000,2048,256,0,265.5773110310547,1974.1445455733735,2.787438154220581,2.1852967143058777,16,2.7856859117746353,2.1852967143058777,6.9470319747924805,1040.0582235930851,171453
blockwise_cfm,8,steps_per_block,16,128,0.5,30000,2048,256,0,529.6480266978033,989.8800213960553,2.792550563812256,2.1917342990636826,16,2.7910232543945312,2.1917342990636826,6.8590850830078125,952.4952146586468,161733
