-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     595.844us         1.84%     595.844us       1.422us           0 b           0 b           0 b           0 b           419  
                                             aten::gelu         0.87%       1.677ms         1.42%       2.729ms      12.574us     487.267us         1.50%     487.267us       2.245us           0 b           0 b      18.89 Mb      18.89 Mb           217  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     487.267us         1.50%     487.267us       2.245us           0 b           0 b           0 b           0 b           217  
                                         aten::rms_norm         0.23%     452.993us         1.50%       2.897ms      93.449us       0.000us         0.00%     380.617us      12.278us           0 b         -24 b     744.00 Kb      -1.48 Mb            31  
                                            aten::index         0.46%     881.916us         0.74%       1.425ms      22.984us     320.994us         0.99%     320.994us       5.177us           0 b           0 b     744.00 Kb     744.00 Kb            62  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     320.994us         0.99%     320.994us       5.177us           0 b           0 b           0 b           0 b            62  
                                          aten::softmax         0.02%      31.912us         0.13%     251.990us      15.749us       0.000us         0.00%     286.116us      17.882us           0 b           0 b      51.58 Mb           0 b            16  
                                         aten::_softmax         0.06%     124.512us         0.11%     220.078us      13.755us     286.116us         0.88%     286.116us      17.882us           0 b           0 b      51.58 Mb      51.58 Mb            16  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     286.116us         0.88%     286.116us      17.882us           0 b           0 b           0 b           0 b            16  
                                           aten::argmax         0.14%     269.339us         0.19%     375.778us      23.486us     246.753us         0.76%     246.753us      15.422us           0 b           0 b       8.00 Kb       8.00 Kb            16  
