formulation,nfe,nfe_semantics,block_size,total_model_forwards_per_sequence,nfe_per_token,checkpoint_step,n_samples,length,seed,sampling_seconds,sampling_tokens_per_second,pooled_entropy_nats,mean_per_sample_generation_block_entropy_nats,report_block_size,pooled_report_block_entropy_mean_nats,mean_per_sample_report_block_entropy_nats,mean_nll,gen_ppl,effective_judge_tokens
blockwise_cfm,8,steps_per_block,16,128,0.5,90000,2048,256,0,290.2513087801635,1806.3243270234345,2.6760292053222656,2.1042762845754623,16,2.673422172665596,2.1042762845754623,6.593111515045166,730.04889769658,183018
blockwise_cfm,16,steps_per_block,16,256,1.0,90000,2048,256,0,578.0235384949483,907.0357262009358,2.684551239013672,2.111158475279808,16,2.6820832937955856,2.111158475279808,6.582149028778076,722.0894540382614,179033
blockwise_cfm,32,steps_per_block,16,512,2.0,90000,2048,256,0,1155.9796570371836,453.54431352517787,2.687001943588257,2.114068791270256,16,2.68459153175354,2.114068791270256,6.5779619216918945,719.0723091308254,177790
