model,point,steps_per_block,total_denoising_nfe,fp32_tf32_reduce_ms,bf16_reduce_ms,bf16_max_autotune_ms,bf16_reduce_speedup_vs_fp32,bf16_max_autotune_speedup_vs_fp32,max_autotune_speedup_vs_bf16_reduce
M2,argmax_nfe1,1,16,16.387533047236502,13.542895030695945,12.531084998045117,1.2100465232945379,1.3077505299655219,1.0807440084245437
M2,argmax_nfe2,2,32,27.677178499288857,22.72216946585104,21.848860022146255,1.2180693635299509,1.2667561818435813,1.0399704809687822
M2,argmax_nfe4,4,64,50.092371995560825,40.660095459315926,37.25149598903954,1.2319787110603992,1.3447076598024261,1.0915023512419284
M2,argmax_nfe8,8,128,95.04632954485714,76.99765043798834,63.29023605212569,1.2344055825626092,1.5017534373955757,1.2165802379781496
M2,argmax_nfe16,16,256,184.41794899990782,149.00489250430837,114.18620345648378,1.2376637162741184,1.615063321289855,1.3049290369050053
M2,argmax_nfe32,32,512,363.091325503774,293.3453689911403,224.21285300515592,1.237760550822741,1.6194045998577276,1.308334312950358
M3,argmax_nfe1,1,16,16.518632997758687,13.504071510396898,13.26122198952362,1.2232335251661584,1.2456343020883314,1.018312755873111
M3,argmax_nfe2,2,32,27.736170450225472,22.513287025503814,21.530169527977705,1.2319911534377455,1.2882467281171792,1.0456623203197997
M3,argmax_nfe4,4,64,50.16551201697439,40.69900850299746,34.349410503637046,1.2325978902724308,1.4604475384421132,1.1848531868891343
M3,argmax_nfe8,8,128,94.8584689758718,77.04544096486643,60.74727652594447,1.231201584258935,1.5615262839867203,1.2682945700777417
M3,argmax_nfe16,16,256,184.20143600087613,149.29426048183814,114.25793898524716,1.233814584742757,1.6121543731386576,1.3066423375719636
M3,argmax_nfe32,32,512,362.6345564844087,293.83266798686236,224.12699944106862,1.2341532987769166,1.6179869332510244,1.311009689683201
BD3-LM,sample_nfe1,1,16,21.392915048636496,20.08751849643886,19.611534953583032,1.0649854561392966,1.0908332825181541,1.0242705909548844
BD3-LM,sample_nfe2,2,32,36.65739804273471,32.96081401640549,33.58786250464618,1.112150871774263,1.0913882369758994,0.9813310987517009
BD3-LM,sample_nfe4,4,64,68.2433174806647,59.93852153187618,60.141020512674004,1.1385552352066595,1.1347216408854126,0.9966329307505656
BD3-LM,sample_nfe8,8,128,131.36417901841924,111.81992944329977,111.08001397224143,1.174783240093437,1.1826085928585386,1.0066611035108732
BD3-LM,sample_nfe16,16,256,257.5151189812459,215.0421864935197,212.16629998525605,1.1975097685728104,1.213741857208903,1.0135548694984242
BD3-LM,sample_nfe256,16,256,269.0093230921775,259.7491620108485,266.5106274653226,1.0356503982905718,1.009375594701866,0.9746296591667667
BD3-LM,sample_nfe32,32,512,509.75486397510394,420.65765894949436,416.53832548763603,1.2118045473084014,1.2237886234798214,1.0098894464441799
