measurement_id,measurement_type,protocol_id,comparable_group,model_id,model_family,model_variant,model_status,run_id,run_complete,checkpoint_path,checkpoint_step_x,training_step,epoch,evaluation_label,sampler,block_size,point,discretize,nfe,forwards_per_sequence,n_samples,seed,source_file,checkpoint_best_metric,checkpoint_ema_decay,checkpoint_epoch,checkpoint_global_step,checkpoint_loadable,checkpoint_parameter_count_total,checkpoint_parameter_count_trainable,checkpoint_processed_tokens,checkpoint_step_y,checkpoint_wall_clock_seconds
checkpoint_metadata::gpt2_mdlm::best,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_mdlm_384x6_s12345,MDLM,trained_100k,complete_100k_full_eval,mdlm_tinystories_gpt2_h384_l6_seed12345,True,baseline/MDLM_best.pt,100000.0,,,best,,,,,,,,,baseline/MDLM_best.pt,1.9737079775333404,0.9999,,,1.0,51119442.0,51119442.0,3276800000.0,100000.0,29842.700187118724
checkpoint_metadata::gpt2_bd3lm::best,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,block16_trained_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,best,,,,,,,,,baseline/BD3LM_best.pt,1.813492751121521,0.9999,,,1.0,51119442.0,51119442.0,3276800000.0,100000.0,57792.94735484198
checkpoint_metadata::byte_ar::last,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,byte_ar_768x12_s12345,AR,byte_trained_100k,complete_100k_legacy_byte,ar_tinystories_seed12345,True,baseline/ar_tinystories_seed12345/checkpoints/last.pt,100000.0,,,last,,,,,,,,,baseline/ar_tinystories_seed12345/checkpoints/last.pt,0.3683955559134483,0.9999,,,1.0,92596737.0,92596737.0,6553600000.0,100000.0,43547.79247787595
checkpoint_metadata::byte_bd3::last,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,byte_bd3lm_b16_768x12_s12345,BD3-LM,byte_block16_trained_100k,complete_100k_legacy_byte,bd3lm_b16_tinystories_seed12345,True,baseline/bd3lm_b16_tinystories_seed12345/checkpoints/last.pt,100000.0,,,last,,,,,,,,,baseline/bd3lm_b16_tinystories_seed12345/checkpoints/last.pt,0.5457352417707443,0.9999,,,1.0,92596737.0,92596737.0,6553600000.0,100000.0,106901.46943549998
checkpoint_metadata::m1::best,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_cfm_m1_384x6_s12345,CFM-M1,full_sequence_best_step68001,best_checkpoint_available,tinystories_a100,True,baseline/tinystories/NEW/tinystories_a100/checkpoints/best.ckpt,68001.0,,,best,,,,,,,,,baseline/tinystories/NEW/tinystories_a100/checkpoints/best.ckpt,,,4.0,68001.0,1.0,,,,,
checkpoint_metadata::bcfm::last,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_bcfm_m3_b16_384x6_s12345,BCFM-M3,block16_partial_step40000,incomplete_40k_of_100k_no_final_eval,2026-07-28_12-43-24_12345_local,False,logs/train/2026-07-28_12-43-24_12345_local/checkpoints/last.ckpt,40000.0,,,last,,,,,,,,,logs/train/2026-07-28_12-43-24_12345_local/checkpoints/last.ckpt,,,2.0,40000.0,1.0,,,,,
checkpoint_metadata::ecld1e3::best,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_ecld_lr1e3_384x6_s12345,ECLD,lr1e-3_failed_ablation,failed_degenerate_partial_progress16260_checkpoint8k,2026-08-01_tinystories_ecld_fixed_ddp2_lr1e3_warmup500_ecld1x1_384x6x6_seed12345,False,logs/train/2026-08-01_tinystories_ecld_fixed_ddp2_lr1e3_warmup500_ecld1x1_384x6x6_seed12345/checkpoints/best.ckpt,8000.0,,,best,,,,,,,,,logs/train/2026-08-01_tinystories_ecld_fixed_ddp2_lr1e3_warmup500_ecld1x1_384x6x6_seed12345/checkpoints/best.ckpt,,,0.0,8000.0,1.0,,,,,
checkpoint_metadata::ecld1e4::step20k,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_ecld_lr1e4_384x6_s12345,ECLD,lr1e-4_fixed_reduction,run_completed_100k_only_step20k_weights_saved,2026-08-01_tinystories_ecld_fixed_ddp2_lr1e4_warmup500_ecld1x1_384x6x6_seed12345,True,results/tinystories_ecld_last_step20000_eval_20260802/checkpoint/last-step00020000.ckpt,20000.0,,,step20k,,,,,,,,,results/tinystories_ecld_last_step20000_eval_20260802/checkpoint/last-step00020000.ckpt,,,1.0,20000.0,1.0,,,,,
checkpoint_metadata::gpt2_ar_corrupt::last,checkpoint_metadata,checkpoint_top_level_metadata,checkpoint_inventory,gpt2_ar_checkpoint_corrupt,AR,gpt2_artifact_corrupt,checkpoint_corrupt_not_evaluable,AR_last_flat_artifact,,baseline/AR_last.pt,,,,last,,,,,,,,,baseline/AR_last.pt,,,,,0.0,,,,,
